"Dataset","Rough","Compare first try","Compare first try per frame","Deviation","Parity","Parity per frame","Quantile and compare","Quantile","Quantile Viktor","SHA"
"r11, 1.4M hot pixel",7.966095443200921,7.993118244614418,7.997073824429587,7.997489862957432,7.998101868758296,7.985350544918985,7.998802824299240,7.998357116144556,7.998411087546821,7.999854753296617
"r8, 2M good pre-ccl",7.986368861632357,7.987740506306534,7.996133581943313,7.998263406690246,7.981685546691018,7.640273451251257,7.998075997917646,7.998337515306094,7.999821839470718,7.999972960598300
"r13, 2M good",7.952328452765220,7.993218428264155,7.997285840322504,7.999340407791018,7.998390796590302,7.996401736677812,7.999249186416852,7.998777267159897,7.999809810659001,7.999995291979079
