"Dataset","Rough","Compare first try","Compare first try per frame","Deviation","Parity","Parity per frame","Quantile and compare","Quantile","Quantile Viktor","SHA"
"synth, 20M good",7.996402020106039,7.994866123243094,7.999850349452896,7.999623859279225,7.999847020121077,7.999841730971909,7.999925367567555,7.999067097766781,7.999883810545676,7.999940177214966
"synth, 20M dot artifact",7.985679274370102,7.989528462549390,7.997916944445299,7.999809804376771,7.999842261997065,7.997440178196173,7.998004897745155,7.990579237674678,7.986844829064377,7.999855002382662
"synth, 20M line artifact",7.996397658528585,7.996080464021856,7.999850699764001,7.999892179364870,7.999233856536679,7.999236382997131,7.999357911030799,7.994315436911831,7.999330872417414,7.999936245320078
