"Dataset","Rough","Compare first try","Compare first try per frame","Deviation","Parity","Parity per frame","Quantile and compare","Quantile","Quantile Viktor","SHA"
"synth, 20M good",0.977957000000000,0.966078450000000,0.994283194206221,0.990660416666667,0.994233199378522,0.993965514310898,0.996033500000000,0.985803166666667,0.994933500000000,0.996324500000000
"synth, 20M dot artifact",0.973877500000000,0.951286900000000,0.978322747974595,0.993469250000000,0.994062535360393,0.975608110689160,0.979198800000000,0.977486500000000,0.983470500000000,0.994256833333333
"synth, 20M line artifact",0.978695416666667,0.970594050000000,0.994225839403358,0.995092250000000,0.986668442957014,0.987149526227699,0.987971650000000,0.978029517740161,0.991003750000000,0.996194916666667
