"Dataset","Compare first try","Compare first try per frame","Deviation","Parity","Parity per frame","Quantile and compare","Quantile Viktor","Quantile","SHA"
"synthetic, 2M dot artifact",0.010027387518456998,0.00390625,0.017528079853945,0.0078125,0.00390625,0.009644421227386957,0.03509032761745501,0.524483930688949,0.628810942508371
"synthetic, 2M line artifact",0.01752403903097699,0.0078125,0.028518737676601957,0.0078125,0.0078125,0.017500350394415998,0.15253209018066605,0.727124852679374,0.983574715105032
"synthetic, 2M good",0.963118396792559,0.981209272496486,0.987186166670005,0.981806784424223,0.981806121482043,0.986656943632889,0.993675419625569,0.981847349496014,0.998926521758308
"r11, 1.4M hot pixel",0.960928643135351,0.974670042222808,0.976637482394666,0.979961388820072,0.942924933565806,0.983911987669841,0.987868184688389,0.984090624196338,0.995159464982234
"r8, 2M good pre-ccl",0.946690303850132,0.971084921566849,0.980705211315315,0.936119745293818,0.712033803834442,0.979663221996233,0.993655202016282,0.98076520509253,0.997569495157552
