"Dataset","Compare first try","Compare first try per frame","Deviation","Parity","Parity per frame","Quantile and compare","Quantile Viktor","Quantile","SHA"
"synthetic, 2M dot artifact",0.412053346652369,0.000000000000000,0.829125425077539,1.000000000000000,0.000000000000000,0.416213114705328,1.504006128093342,7.047392715978095,7.371790987513527
"synthetic, 2M line artifact",1.161434424211613,0.185672712796139,1.978362343610776,0.387217625759146,0.613847935660840,0.779125779417312,5.153268996883657,7.636965231958079,7.998768634155890
"synthetic, 2M good",7.993929352456834,7.998379445206283,7.999264215513191,7.998565770383535,7.998541572041764,7.999166525547075,7.999823408249017,7.998543055163036,7.999994700540968
"r11, 1.4M hot pixel",7.993118244614418,7.997073824429587,7.997489862957432,7.998101868758296,7.985350544918985,7.998802824299240,7.998411087546821,7.998357116144556,7.999854753296617
"r8, 2M good pre-ccl",7.987740506306534,7.996133581943313,7.998263406690246,7.981685546691018,7.640273451251257,7.998075997917646,7.999821839470718,7.998337515306094,7.999972960598300
